Host_Time_s,Raw_V3,Force_N,Raw_V3_Filtered
1771590281.466139,-7.8,-1.519867928122421,-7.8
1771590281.466241,17.55,2.6909137088069084,17.55
1771590281.523088,-9.5,-1.802247761762652,-9.5
1771590281.525204,4.65,0.5481490888310367,4.65
1771590281.525312,-8.9,-1.7025842910660998,-8.9
1771590281.552928,6.35,0.8305289224712677,6.35
1771590281.554821,-3.7,-0.838834211695981,-3.7
1771590281.554953,8.65,1.2125722268080512,8.65
1771590281.556913,-21.3,-3.762296018794845,-21.3
1771590281.556985,-0.8,-0.35712743666264546,-0.8
1771590281.557270,-1.65,-0.49831735348276107,-1.65
1771590281.557367,-10.5,-1.9683535462569055,-10.5
1771590281.587344,-7.35,-1.4451203251000067,-7.35
1771590281.587489,3.3,0.32390627976379427,3.3
1771590281.615627,22.5,3.5131373420534637,22.5
1771590281.615866,2.55,0.19932694139310408,2.55
1771590281.616332,-19.75,-3.5048320528287515,-19.75
1771590281.643416,11.35,1.661057844942536,11.35
1771590281.645158,-9.4,-1.7856371833132267,-9.4
1771590281.645221,-3.1,-0.7391707409994288,-3.1
1771590281.673780,-11.9,-2.2009016445488605,-11.9
1771590281.676063,-6.35,-1.279014540605753,-6.35
1771590281.705257,-42.1,-7.21729633627532,-42.1
1771590281.705618,0.2,-0.1910216521683919,0.2
1771590281.705752,36.65,5.863534192647152,36.65
1771590281.706053,-2.35,-0.6145914026287387,-2.35
1771590281.735228,13.7,2.051406438504032,13.7
1771590281.735417,21.25,3.3055051114356466,21.25
1771590281.735977,10.65,1.5447837957965584,10.65
1771590281.763339,2.85,0.2491586767413802,2.85
1771590281.765221,-16.25,-2.923461807098864,-16.25
1771590281.765374,-10.85,-2.0264905708298944,-10.85
1771590281.793282,18.85,2.906851228649438,18.85
1771590281.795062,8.85,1.2457933837069017,8.85
1771590281.795135,11.45,1.6776684233919612,11.45
1771590281.853440,15.2,2.300565115245412,15.2
1771590281.855128,3.65,0.3820433043367831,3.65
1771590281.883023,12.1,1.785637183313226,12.1
1771590281.885492,15.1,2.283954536795987,15.1
1771590281.885670,-3.85,-0.8637500793701189,-3.85
1771590281.885981,-8.9,-1.7025842910660998,-8.9
1771590281.886110,8.65,1.2125722268080512,8.65
1771590281.887344,-8.95,-1.7108895802908124,-8.95
1771590281.887396,14.3,2.1510699092005843,14.3
1771590281.915479,19.1,2.9483776747730017,19.1
1771590281.915683,19.85,3.072957013143692,19.85
1771590281.915847,0.1,-0.20763223061781724,0.1
1771590281.943225,-0.2,-0.25746396596609333,-0.2
1771590281.945155,-2.25,-0.5979808241793133,-2.25
1771590281.945221,4.55,0.5315385103816113,4.55
1771590281.973404,4.85,0.5813702457298874,4.85
1771590281.974897,-16.15,-2.906851228649438,-16.15
1771590282.005038,19.05,2.940072385548289,19.05
1771590282.005427,1.0,-0.058137024572989,1.0
1771590282.005477,9.25,1.3122356975046032,9.25
1771590282.033330,19.55,3.023125277795416,19.55
1771590282.034936,11.35,1.661057844942536,11.35
1771590282.034994,1.3,-0.00830528922471291,1.3
1771590282.063234,-0.45,-0.29899041208965677,-0.45
1771590282.065198,-6.65,-1.3288462759540292,-6.65
1771590282.065361,-1.7,-0.5066226427074738,-1.7
1771590282.093436,1.65,0.049831735348275834,1.65
1771590282.095217,-24.65,-4.318750396850594,-24.65
1771590282.095299,6.85,0.9135818147183946,6.85
1771590282.153168,8.0,1.1046034668867863,8.0
1771590282.154958,1.25,-0.0166105784494256,1.25
1771590282.155085,-8.25,-1.594615531144835,-8.25
1771590282.155345,13.55,2.026490570829894,13.55
1771590282.156677,7.65,1.0464664423137977,7.65
1771590282.156793,-3.7,-0.838834211695981,-3.7
1771590282.184678,-4.25,-0.9301923931678205,-4.25
1771590282.184971,-10.25,-1.9268271001333421,-10.25
1771590282.185037,-2.8,-0.6893390056511527,-2.8
1771590282.213416,0.05,-0.21593751984252993,0.05
1771590282.214658,5.65,0.7142548733252904,5.65
1771590282.243036,6.75,0.8969712362689692,6.75
1771590282.244772,-24.6,-4.310445107625882,-24.6
1771590282.244865,-5.75,-1.179351069909201,-5.75
1771590282.273012,21.9,3.4134738713569113,21.9
1771590282.274699,10.85,1.578004952695409,10.85
1771590282.274764,-1.0,-0.39034859356149626,-1.0
1771590282.305348,10.25,1.478341481998857,10.25
1771590282.305500,-6.5,-1.303930408279891,-6.5
1771590282.305946,-22.35,-3.936707092513811,-22.35
1771590282.306062,2.7,0.22424280906724217,2.7
1771590282.333176,15.9,2.41683916439139,15.9
1771590282.334648,5.85,0.747476030224141,5.85
1771590282.336832,16.85,2.574639659660931,16.85
1771590282.366922,0.4,-0.15780049526954118,0.4
1771590282.367053,14.75,2.2258175122229984,14.75
